user_id,last_order_date,recency,frequency,monetary,last_login,days_since_login,session_count,churn_flag,segment,churn_risk_score,recommended_action,revenue_at_risk,priority_level,final_priority_score
1,2025-12-05,140,3,6610.82,2024-03-20,765,45,1,"High Value At Risk",313.2,"Win-back Campaign",6610.82,HIGH,2202.49
2,2024-02-10,804,1,1500.00,2024-03-25,760,30,1,"Low Engagement",710.3,"Send Push Notification",0.00,LOW,947.21
3,2026-02-27,56,3,4034.23,2023-10-01,936,10,1,"High Value At Risk",314.1,"Win-back Campaign",4034.23,HIGH,1430.14
4,2024-03-01,784,1,2000.00,2024-03-28,757,50,1,"Low Engagement",697.4,"Send Push Notification",0.00,LOW,1088.18
5,2023-07-10,1019,1,300.00,2023-08-01,997,5,1,"Low Engagement",910.4,"Send Push Notification",0.00,LOW,727.28
6,2024-02-25,789,1,1800.00,2024-03-22,763,40,1,"Low Engagement",702.2,"Send Push Notification",0.00,LOW,1031.54
7,2023-06-20,1039,1,400.00,2023-07-01,1028,8,1,"Low Engagement",931.7,"Send Push Notification",0.00,LOW,772.19
8,2025-12-04,141,2,6773.81,2024-02-20,794,25,1,"High Value At Risk",322.6,"Send Push Notification",6773.81,HIGH,2257.96
9,2025-11-06,169,2,3992.20,2023-06-01,1058,6,1,"High Value At Risk",418.6,"Send Push Notification",3992.20,HIGH,1490.68
10,2026-02-27,56,3,9958.41,2024-03-29,756,60,1,"High Value At Risk",260.1,"Win-back Campaign",9958.41,HIGH,3169.59
11,2024-02-01,813,1,900.00,2024-02-15,799,35,1,"Low Engagement",727.4,"Send Push Notification",0.00,LOW,779.18
12,2023-11-20,886,1,1100.00,2023-12-01,875,12,1,"Low Engagement",794,"Send Push Notification",0.00,LOW,885.8
13,2026-04-03,21,2,4104.72,2023-11-01,905,15,1,"High Value At Risk",283.9,"Send Push Notification",4104.72,HIGH,1430.15
14,2025-12-22,123,2,2635.28,2023-10-10,927,9,1,"Churned Users",351.7,"Send Push Notification",2635.28,MEDIUM,1036.77
15,2026-04-23,1,2,7604.31,2024-03-30,755,70,1,"High Value At Risk",226.9,"Send Push Notification",7604.31,HIGH,2440.12
16,2026-02-01,82,3,4163.66,2026-03-08,47,94,1,"High Value At Risk",63,"Win-back Campaign",4163.66,HIGH,1293.2
17,NULL,NULL,0,0.00,2026-04-07,17,70,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
18,2025-12-21,124,1,1890.27,2026-03-19,36,91,1,"Low Engagement",85.1,"Send Push Notification",0.00,LOW,626.651
19,NULL,NULL,0,0.00,2026-03-12,43,89,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
20,NULL,NULL,0,0.00,2026-04-09,15,62,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
21,2026-04-13,11,1,1194.92,2026-04-06,18,72,0,"Regular Users",11.9,"Send Push Notification",0.00,NORMAL,366.806
22,2026-04-04,20,2,5157.85,2026-03-17,38,6,1,"High Value At Risk",23.2,"Send Push Notification",5157.85,HIGH,1563.59
23,2026-01-08,106,1,4375.32,2026-04-04,20,55,1,"High Value At Risk",69.5,"Send Push Notification",4375.32,HIGH,1361.25
24,NULL,NULL,0,0.00,2026-03-14,41,83,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
25,NULL,NULL,0,0.00,2026-04-21,3,82,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
26,2026-04-14,10,1,964.87,2026-03-03,52,99,1,"Churned Users",21.5,"Send Push Notification",964.87,MEDIUM,304.511
27,2025-11-20,155,1,1063.32,2026-04-09,15,34,1,"Low Engagement",97.4,"Send Push Notification",0.00,LOW,387.176
28,NULL,NULL,0,0.00,2026-03-01,54,51,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
29,NULL,NULL,0,0.00,2026-03-07,48,56,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
30,2025-11-24,151,1,420.84,2026-04-04,20,6,1,"Low Engagement",96.5,"Send Push Notification",0.00,LOW,193.802
31,2026-02-09,74,1,4657.63,2026-04-09,15,10,1,"High Value At Risk",48.8,"Send Push Notification",4657.63,HIGH,1431.45
32,NULL,NULL,0,0.00,2026-03-12,43,36,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
33,2026-01-02,112,1,4899.91,2026-03-20,35,93,1,"High Value At Risk",77.6,"Send Push Notification",4899.91,HIGH,1524.29
34,2026-04-14,10,1,710.11,2026-03-07,48,26,1,"Churned Users",20.3,"Send Push Notification",710.11,MEDIUM,227.243
35,2026-02-17,66,1,3499.46,2026-03-04,51,55,1,"High Value At Risk",54.8,"Send Push Notification",3499.46,HIGH,1088.2
36,NULL,NULL,0,0.00,2026-04-16,8,5,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
37,2026-04-24,0,3,7386.04,2026-03-07,48,90,1,"High Value At Risk",14.1,Monitor,7386.04,HIGH,2225.68
38,2026-03-12,43,3,2808.87,2026-04-21,3,61,1,"Churned Users",26.4,Monitor,2808.87,MEDIUM,861.141
39,NULL,NULL,0,0.00,2026-03-03,52,52,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
40,2026-04-07,17,1,1599.91,2026-02-26,57,26,1,"Churned Users",27.2,"Send Push Notification",1599.91,MEDIUM,499.013
41,NULL,NULL,0,0.00,2026-03-31,24,28,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
42,NULL,NULL,0,0.00,2026-04-16,8,93,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
43,NULL,NULL,0,0.00,2026-04-15,9,2,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
44,NULL,NULL,0,0.00,2026-03-20,35,93,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
45,2026-02-04,79,2,6858.16,2026-03-05,50,42,1,"High Value At Risk",62.2,"Send Push Notification",6858.16,HIGH,2100.99
46,NULL,NULL,0,0.00,2026-03-21,34,61,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
47,NULL,NULL,0,0.00,2026-04-06,18,75,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
48,NULL,NULL,0,0.00,2026-03-07,48,81,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
49,2025-12-09,136,2,3684.22,2026-03-21,34,47,1,"High Value At Risk",91.6,"Send Push Notification",3684.22,HIGH,1169.39
50,NULL,NULL,0,0.00,2026-03-20,35,55,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
51,NULL,NULL,0,0.00,2026-02-26,57,19,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
52,NULL,NULL,0,0.00,2026-04-22,2,68,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
53,NULL,NULL,0,0.00,2026-04-11,13,8,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
54,2026-02-09,74,1,4175.35,2026-03-12,43,38,1,"High Value At Risk",57.2,"Send Push Notification",4175.35,HIGH,1292.65
55,NULL,NULL,0,0.00,2026-03-13,42,43,1,"Churned Users",NULL,"Send Push Notification",0.00,MEDIUM,NULL
56,2026-03-10,45,1,4962.63,2026-02-25,58,63,1,"High Value At Risk",44.3,"Send Push Notification",4962.63,HIGH,1519.8
57,2026-03-15,40,1,4323.31,2026-04-12,12,17,1,"High Value At Risk",27.5,"Send Push Notification",4323.31,HIGH,1316.24
58,2025-11-24,151,1,4671.57,2026-04-13,11,45,1,"High Value At Risk",93.8,"Send Push Notification",4671.57,HIGH,1467.13
59,2025-12-19,126,1,1194.34,2026-03-16,39,95,1,"Low Engagement",87.2,"Send Push Notification",0.00,LOW,419.342
60,2025-11-17,158,1,584.26,2026-03-10,45,98,1,"Low Engagement",108.2,"Send Push Notification",0.00,LOW,251.018
61,2025-11-13,162,2,2366.47,2026-03-20,35,6,1,"Churned Users",107.5,"Send Push Notification",2366.47,MEDIUM,785.191
