user_id,segment,monetary,churn_risk_score,final_priority_score,revenue_at_risk,priority_level,recommended_action
10,"High Value At Risk",9958.41,260.1,3169.59,9958.41,HIGH,"Win-back Campaign"
133,"High Value At Risk",9190.08,87.4,2818.2,9190.08,HIGH,"Send Push Notification"
125,"High Value At Risk",8235.31,61.3,2513.5,8235.31,HIGH,"Send Push Notification"
15,"High Value At Risk",7604.31,226.9,2440.12,7604.31,HIGH,"Send Push Notification"
8,"High Value At Risk",6773.81,322.6,2257.96,6773.81,HIGH,"Send Push Notification"
37,"High Value At Risk",7386.04,14.1,2225.68,7386.04,HIGH,Monitor
1,"High Value At Risk",6610.82,313.2,2202.49,6610.82,HIGH,"Win-back Campaign"
45,"High Value At Risk",6858.16,62.2,2100.99,6858.16,HIGH,"Send Push Notification"
75,"High Value At Risk",5746.67,19.6,1737.72,5746.67,HIGH,"Send Push Notification"
127,"High Value At Risk",5365.22,27.4,1628.75,5365.22,HIGH,"Send Push Notification"
22,"High Value At Risk",5157.85,23.2,1563.59,5157.85,HIGH,"Send Push Notification"
33,"High Value At Risk",4899.91,77.6,1524.29,4899.91,HIGH,"Send Push Notification"
56,"High Value At Risk",4962.63,44.3,1519.8,4962.63,HIGH,"Send Push Notification"
90,"High Value At Risk",4998.75,24.2,1516.56,4998.75,HIGH,"Send Push Notification"
136,"High Value At Risk",4989.61,20,1510.88,4989.61,HIGH,"Send Push Notification"
9,"High Value At Risk",3992.20,418.6,1490.68,3992.20,HIGH,"Send Push Notification"
101,"High Value At Risk",4775.70,54.2,1470.65,4775.70,HIGH,"Send Push Notification"
58,"High Value At Risk",4671.57,93.8,1467.13,4671.57,HIGH,"Send Push Notification"
131,"High Value At Risk",4684.69,58.7,1446.5,4684.69,HIGH,"Send Push Notification"
31,"High Value At Risk",4657.63,48.8,1431.45,4657.63,HIGH,"Send Push Notification"
13,"High Value At Risk",4104.72,283.9,1430.15,4104.72,HIGH,"Send Push Notification"
3,"High Value At Risk",4034.23,314.1,1430.14,4034.23,HIGH,"Win-back Campaign"
23,"High Value At Risk",4375.32,69.5,1361.25,4375.32,HIGH,"Send Push Notification"
67,"High Value At Risk",4286.25,51.5,1321.93,4286.25,HIGH,"Send Push Notification"
57,"High Value At Risk",4323.31,27.5,1316.24,4323.31,HIGH,"Send Push Notification"
84,"High Value At Risk",4331.24,22.1,1314.84,4331.24,HIGH,"Send Push Notification"
16,"High Value At Risk",4163.66,63,1293.2,4163.66,HIGH,"Win-back Campaign"
54,"High Value At Risk",4175.35,57.2,1292.65,4175.35,HIGH,"Send Push Notification"
78,"High Value At Risk",4170.72,21.4,1266.2,4170.72,HIGH,"Send Push Notification"
64,"High Value At Risk",3944.35,9.2,1189.74,3944.35,HIGH,"Send Push Notification"
122,"High Value At Risk",3846.94,36.8,1179.84,3846.94,HIGH,"Send Push Notification"
49,"High Value At Risk",3684.22,91.6,1169.39,3684.22,HIGH,"Send Push Notification"
124,"High Value At Risk",3702.01,78.2,1165.34,3702.01,HIGH,"Send Push Notification"
35,"High Value At Risk",3499.46,54.8,1088.2,3499.46,HIGH,"Send Push Notification"
14,"Churned Users",2635.28,351.7,1036.77,2635.28,MEDIUM,"Send Push Notification"
88,"High Value At Risk",3144.97,89.3,1006,3144.97,HIGH,"Send Push Notification"
38,"Churned Users",2808.87,26.4,861.141,2808.87,MEDIUM,Monitor
61,"Churned Users",2366.47,107.5,785.191,2366.47,MEDIUM,"Send Push Notification"
40,"Churned Users",1599.91,27.2,499.013,1599.91,MEDIUM,"Send Push Notification"
26,"Churned Users",964.87,21.5,304.511,964.87,MEDIUM,"Send Push Notification"
34,"Churned Users",710.11,20.3,227.243,710.11,MEDIUM,"Send Push Notification"
116,"Churned Users",382.43,43,144.829,382.43,MEDIUM,"Send Push Notification"
24,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
19,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
44,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
46,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
39,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
41,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
32,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
72,"Churned Users",0.00,NULL,NULL,0.00,MEDIUM,"Send Push Notification"
